@relation 'emodb-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute pitchAcMeanAbsoluteSlope numeric
@attribute pitchAcSlopeWithoutOctaveJumps numeric
@attribute pitchCcStdev numeric
@attribute pitchCcSlopeWithoutOctaveJumps numeric
@attribute pitchSpiStdev numeric
@attribute pitchSpiSlopeWithoutOctaveJumps numeric
@attribute pitchShsMin numeric
@attribute pitchShsQuantile numeric
@attribute pitchShsMean numeric
@attribute pitchShsStdev numeric
@attribute pitchShsSlopeWithoutOctaveJumps numeric
@attribute ppccStdevPeriod numeric
@attribute ppccJitterRap numeric
@attribute pppJitterRap numeric
@attribute pppJitterPpq5 numeric
@attribute harmAcMean numeric
@attribute harmAcStdev numeric
@attribute harmGneStdev numeric
@attribute ltasMin numeric
@attribute freqOfMaximum numeric
@attribute ltasSlope numeric
@attribute pcValueAtFreq numeric
@attribute pcFreqOfMaximum numeric
@attribute pcLtasSlope numeric
@attribute formantLpcQuantile numeric
@attribute formantLpcMean numeric
@attribute intensityMin numeric
@attribute intensityQuantile numeric
@attribute emotion? {anger,boredom,disgust,fear,happiness,sadness,neutral}

@data
270.250811,35.761769,26.326493,45.516475,7.344706,47.170141,66.749704,99.223212,112.727265,45.753265,59.567405,0.001892,0.010184,0.016778,0.012835,9.647618,5.830771,0.422104,-8.288774,550,-14.936106,34.154908,550,-14.937144,565.93113,711.951412,34.862809,69.544186,boredom
258.054147,37.805665,45.789912,64.906612,28.712247,90.867671,65.000043,109.94967,112.867183,24.379063,41.26437,0.001726,0.013544,0.02556,0.025729,6.915796,3.877307,0.414118,-2.760294,550,-11.959483,33.656492,550,-11.890877,640.937337,776.174337,33.788633,71.209637,neutral
838.386888,34.75601,68.046829,66.721982,6.41122,9.659833,49.082118,90.125344,95.675999,32.14304,76.248673,0.003229,0.02048,0.029439,0.034777,6.129254,6.328356,0.362182,2.111434,150,-16.825207,30.41819,50,-18.318797,611.945981,837.421408,41.73247,72.112557,sadness
555.301717,41.014264,46.644073,46.272282,94.75063,37.934006,76.401428,244.425938,240.512436,84.291439,49.025065,0.000974,0.007687,0.029144,0.033067,9.100369,6.279438,0.408514,6.059961,550,-5.034166,41.437219,550,-4.715614,872.861182,863.474724,24.685035,66.447994,anger
669.613199,52.354472,34.256894,61.645572,6.006332,8.242715,57.509266,220.742351,227.515059,59.728222,77.990596,0.000671,0.009991,0.030859,0.030478,8.535675,6.102577,0.355075,9.427257,250,-11.751307,32.801535,250,-11.9432,645.868018,814.648848,30.605198,71.212868,fear
733.465195,43.755487,44.324478,55.089244,38.373378,16.057941,68.614621,185.632491,196.47884,74.881116,68.241911,0.001305,0.010494,0.024035,0.024226,8.556765,6.258793,0.384675,11.368941,250,-13.091532,32.544083,250,-14.594654,671.812234,893.451012,37.450952,70.1365,happiness
555.954391,34.952788,50.722071,59.545277,16.082919,81.412841,53.704308,117.980602,127.69726,54.481955,44.884914,0.001739,0.015197,0.02333,0.024003,8.063511,6.063594,0.414286,1.416844,350,-15.355339,33.760147,350,-17.281536,559.080119,820.603388,34.060417,70.486906,neutral
583.241895,38.354037,54.35317,52.848868,8.487663,20.41916,50.753305,100.124624,101.969885,35.435187,55.438948,0.001969,0.022493,0.029125,0.03167,6.636745,6.535102,0.355161,2.40605,150,-16.246216,25.971737,50,-23.245003,660.141525,898.842393,38.223609,71.30262,sadness
459.902062,36.124537,35.169456,52.408353,127.434551,19.222354,68.616247,180.101363,191.193663,76.354774,52.825943,0.000945,0.007661,0.028639,0.029866,5.923136,6.225908,0.38286,6.60942,550,-10.408562,32.978987,550,-11.343665,763.421368,881.15774,24.073623,66.235737,anger
625.615497,43.058468,46.553574,58.352625,95.155536,30.364331,87.870778,247.083984,248.781218,59.462213,59.994015,0.000595,0.008685,0.029257,0.029559,7.572934,5.575887,0.393114,4.825865,650,-4.567867,43.24629,650,-4.814533,729.14098,867.736936,22.358672,67.80442,anger
676.175162,42.330592,53.607026,50.738714,9.910037,26.150578,77.534479,212.040542,214.390552,69.584342,56.661695,0.001116,0.005908,0.026398,0.026557,9.547011,5.505407,0.362907,14.016792,250,-12.024603,34.85643,250,-14.971538,529.398527,762.696271,34.717521,74.680105,happiness
503.506246,33.208494,56.117774,38.871873,44.359996,54.992847,122.749198,240.205132,248.608751,61.656842,42.026836,0.000912,0.005216,0.022746,0.023379,11.748518,7.162517,0.367215,6.164123,250,-12.110228,35.647481,350,-13.325909,466.218549,711.684088,33.019498,73.604817,happiness
158.548808,19.114804,25.748798,50.653339,5.844716,32.110532,69.407831,99.479321,109.730369,28.312201,46.953126,0.002113,0.012643,0.016146,0.017886,9.250872,7.070475,0.382334,7.560755,150,-17.482045,33.849759,150,-19.665415,434.126213,728.822784,39.134725,75.104056,boredom
230.655762,31.596148,21.081539,61.801704,30.335343,102.989694,58.385725,122.802459,119.959208,23.185478,41.779874,0.001437,0.013332,0.019243,0.019325,7.974862,5.071572,0.412032,6.377566,250,-15.931226,38.773708,250,-16.478265,414.090312,690.198229,39.603029,75.735413,neutral
553.278532,38.045424,57.096199,53.620076,65.731041,71.086811,80.005649,235.267783,238.321637,79.450862,76.016182,0.000913,0.00541,0.022511,0.024076,7.109553,5.614895,0.398688,10.715494,550,-6.46293,41.585092,550,-6.697038,610.376757,786.306267,25.881041,70.584549,anger
630.962138,46.114578,48.237661,56.766091,32.159987,26.176453,68.009527,202.073093,200.44232,66.474296,73.957082,0.000969,0.0122,0.023838,0.02342,8.453147,5.953075,0.34929,10.82376,450,-13.730985,30.636484,450,-17.008333,500.666113,772.364436,40.684816,73.767932,happiness
232.318091,36.054913,22.68895,51.7835,20.46327,88.875157,50.54083,106.329449,114.929211,50.667076,64.137658,0.001859,0.01118,0.01796,0.017584,7.45749,6.321405,0.410832,7.144137,450,-16.254108,33.924993,450,-17.181999,452.712506,753.284239,38.27143,69.139429,boredom
247.666015,36.138104,20.856161,60.431057,14.653657,21.644673,57.679976,103.037716,111.956157,22.761024,62.104198,0.001543,0.015773,0.023732,0.025992,6.886554,5.725198,0.395193,8.78234,250,-15.816245,36.046053,250,-16.317133,459.285326,794.775694,36.928793,73.08314,neutral
179.222567,26.997924,18.090568,45.563356,25.583628,16.126969,49.998529,110.710119,110.615409,39.174561,66.683444,0.001215,0.035636,0.044279,0.040866,3.28612,6.511629,0.387885,3.211342,150,-14.470694,27.662921,150,-20.544498,864.267035,923.616678,38.108882,67.873289,sadness
524.79085,47.74437,39.738802,61.853391,6.455258,245.746984,65.069073,196.17129,187.364251,52.783062,61.848448,0.001331,0.014196,0.033997,0.040346,6.404296,4.4625,0.388246,5.570523,450,-9.59752,33.366812,350,-10.036564,527.799774,819.151489,18.229802,69.631639,anger
496.904964,38.134656,51.952967,53.059898,31.926347,27.528249,56.680242,187.246132,184.893273,58.678565,57.853812,0.001368,0.008709,0.028561,0.030021,7.85589,5.699658,0.382545,8.073792,350,-11.654248,34.888518,250,-11.459037,762.182364,919.734712,26.158557,69.584751,anger
1024.175517,51.210723,54.88605,64.611153,21.461266,39.53256,52.572043,190.537772,189.059668,44.862932,65.49282,0.001116,0.011954,0.033084,0.032649,6.902991,5.391879,0.341066,10.971618,250,-11.619169,39.855121,250,-12.980621,778.770375,870.971015,39.270673,74.153012,fear
132.079176,21.102804,15.287118,42.717318,19.282625,49.952377,42.697444,101.863419,103.626527,21.933982,57.313098,0.001301,0.011617,0.014813,0.014255,7.275696,5.920684,0.432797,3.721976,150,-14.233235,32.011695,50,-14.325819,531.017519,726.267276,35.815996,68.592301,boredom
257.265565,41.600839,17.504291,58.047223,11.204379,13.157698,50.465341,103.738656,109.112131,37.394016,59.276141,0.001463,0.016172,0.025251,0.026548,6.661931,4.563492,0.421763,-0.762332,250,-14.14031,32.57096,650,-14.455494,544.21109,742.674218,39.769164,70.569004,neutral
132.022737,22.018603,14.623049,43.447002,15.1901,20.352145,51.902795,99.283082,106.274041,38.172196,75.412599,0.001248,0.018712,0.026321,0.020502,7.522758,5.194978,0.394194,6.74439,150,-15.180923,30.506052,150,-15.922069,1007.073382,918.194066,34.892897,65.340657,sadness
414.369978,42.801825,26.280735,51.504394,52.236058,21.51458,83.801438,166.261538,167.896455,30.313452,50.687769,0.000994,0.010456,0.023711,0.024803,6.399062,4.356196,0.40194,2.535789,450,-8.748465,36.942224,450,-8.950215,750.196014,829.339493,27.359955,69.140295,anger
332.263802,38.93761,20.173839,56.517009,27.160148,51.924502,57.181066,122.685262,126.576113,46.913386,63.657766,0.001416,0.014009,0.023104,0.02584,7.909216,5.213736,0.41153,-1.087178,450,-15.146086,36.049459,450,-15.603617,548.955226,727.867969,31.96738,70.841099,neutral
159.728066,26.184538,10.604112,47.271859,8.590646,19.899534,50.501531,102.743562,106.933274,41.355809,63.144364,0.000856,0.023084,0.028123,0.026344,6.292614,6.401392,0.381248,-1.583701,150,-17.846012,21.431248,150,-19.925565,650.404531,847.318741,33.673246,65.082644,sadness
609.713531,41.244012,36.493479,54.477564,44.154595,64.582288,64.809518,217.46225,213.53521,48.790804,77.039817,0.000784,0.009493,0.02803,0.02855,7.473918,5.527806,0.403532,1.586629,450,-6.064558,41.238176,650,-6.503574,696.775868,825.936949,21.644845,66.917982,anger
212.403758,34.888681,20.381266,50.749165,14.648691,26.00166,50.52597,102.746834,107.736912,30.336702,59.090014,0.001674,0.013223,0.021549,0.024598,9.86338,5.689609,0.422688,3.977112,450,-14.952259,35.614982,450,-15.168465,433.498962,659.28737,34.21011,70.424213,boredom
231.639373,33.29641,21.025272,53.220397,20.473447,91.146069,50.495369,119.442991,122.391797,35.797075,59.668549,0.00144,0.012256,0.019855,0.020208,9.594672,5.530916,0.40476,1.411979,450,-15.322615,32.864891,450,-15.432006,434.368966,707.769595,28.694514,70.999962,neutral
123.849088,18.492572,27.423001,46.909901,23.164524,36.372393,46.757757,111.091648,113.71856,43.52939,58.296437,0.001066,0.019976,0.023476,0.022035,8.019194,8.192104,0.382293,5.625664,250,-19.122517,29.790839,350,-21.417682,467.016019,779.844143,41.428966,70.313159,sadness
386.65867,38.329946,41.94153,53.062625,30.036358,30.874289,67.598911,164.224277,171.362253,51.709546,67.160448,0.001289,0.009169,0.018444,0.019947,6.827529,5.520185,0.38724,-0.383952,1250,-5.333725,36.515993,1250,-5.196287,549.372551,767.153382,26.379101,67.685637,anger
941.389251,50.01945,31.757054,56.338044,34.585462,77.673652,53.89667,239.536329,237.95384,67.653937,61.067066,0.000651,0.008314,0.030286,0.033109,9.014838,4.987992,0.38743,4.493899,250,-10.904659,36.221023,550,-11.157393,792.099207,912.312793,25.178475,68.929725,fear
330.525877,35.836245,25.902595,43.517005,29.689493,55.575137,82.34327,149.726295,152.253521,39.793415,45.178293,0.00111,0.006694,0.01996,0.01874,10.423781,5.64757,0.388689,5.847952,350,-14.162605,36.789929,350,-14.585908,455.238407,696.785884,37.139976,74.047634,disgust
568.44986,35.178548,53.849227,51.848447,27.347653,60.617202,88.806265,124.282791,122.245273,19.284927,30.215281,0.001795,0.012306,0.020043,0.019626,9.332357,5.456228,0.41293,4.700087,550,-15.435841,39.663823,550,-15.574172,385.527706,614.16796,35.591425,73.740956,neutral
311.470371,39.073469,39.381351,53.122134,15.080343,33.15869,65.634065,134.988969,135.786675,48.364844,54.137511,0.002117,0.009436,0.019511,0.021639,9.797952,6.910194,0.41251,1.592249,250,-15.870607,35.806406,250,-16.329109,396.35352,627.744534,35.869565,72.213052,neutral
516.307675,41.146127,43.610685,50.162869,49.67617,38.171504,50.797641,197.828819,199.249255,53.250364,55.785505,0.001041,0.007469,0.026526,0.026788,8.422255,4.567563,0.412845,-1.225584,550,-6.218543,44.043672,1550,-6.455617,534.286026,720.837306,22.12573,67.084159,anger
562.863267,41.011429,52.145491,46.138843,79.439632,70.513095,63.428703,220.828499,224.063992,61.628649,60.356771,0.000993,0.00643,0.025394,0.028876,7.992099,4.356374,0.403206,-1.187878,650,-6.592175,40.961716,650,-6.531235,632.171062,744.395877,26.755466,68.978284,anger
702.377031,46.393056,42.047151,55.108712,8.770823,30.663984,56.926764,254.362287,245.890677,54.944163,50.883204,0.000624,0.006276,0.021174,0.02132,10.693398,7.501821,0.414018,12.973107,250,-11.949411,39.526816,250,-12.378303,671.90261,798.630223,26.980216,74.59404,fear
801.760659,34.857779,65.778469,49.102121,7.690782,22.800672,65.070571,160.165114,164.075637,80.233058,60.532111,0.001566,0.007916,0.027564,0.02433,7.872889,6.904592,0.378796,14.009498,250,-13.67652,32.400854,250,-15.267761,1021.903605,1031.557442,48.279999,72.015878,happiness
266.775601,22.957164,47.864254,34.661551,6.169466,49.36229,65.294879,182.410749,187.395044,53.082571,40.755054,0.001153,0.007191,0.0166,0.016287,15.202738,5.851498,0.434361,-4.604448,250,-15.665974,31.498685,850,-15.320329,622.752895,761.901671,33.754812,69.452407,boredom
393.322954,30.143624,34.834244,43.076262,7.640795,72.101063,52.975267,177.833895,171.425843,62.0802,64.958859,0.001114,0.008672,0.0235,0.021556,10.104167,7.054493,0.426652,1.098281,250,-15.864314,32.730528,250,-16.565109,586.196454,793.675017,41.786868,70.522583,neutral
665.021126,35.861426,44.829704,44.181101,48.069744,99.93993,65.45008,294.498214,293.599007,58.215185,58.097827,0.0005,0.005427,0.030164,0.03184,7.283692,4.513817,0.433719,4.063118,1050,-3.313242,36.752908,1050,-3.67304,856.118777,922.945895,17.740349,65.710086,anger
800.511366,35.881368,65.464544,46.508,81.569077,72.354087,82.179929,391.290445,364.962736,88.77895,67.231012,0.000466,0.006354,0.026381,0.028237,6.914726,4.365198,0.409429,4.540784,1250,0.759179,42.808402,1150,-0.074256,874.308243,897.585382,19.272404,70.457716,anger
784.913743,50.115227,40.666996,57.86727,14.579786,79.039167,61.839984,250.426013,244.181883,60.741313,63.096842,0.00059,0.010613,0.031251,0.031014,9.622331,6.262345,0.396411,10.73975,1050,-7.359622,26.941492,1050,-6.508225,574.314797,764.944642,29.681124,71.359508,fear
750.815089,39.46217,55.717596,44.676231,35.782827,48.127495,76.163252,237.865706,230.405711,60.672879,48.473636,0.000848,0.010377,0.040061,0.037923,9.005824,6.222164,0.384434,6.477921,250,-8.655301,32.465646,350,-9.495761,962.688069,951.615942,35.813621,66.619551,fear
620.054951,49.04884,34.178013,56.324331,13.773633,47.319468,68.13422,201.595396,189.682532,59.674723,74.735373,0.000738,0.010856,0.026058,0.030022,9.885044,6.363414,0.402305,17.782996,250,-15.243435,30.208646,250,-14.761666,509.937952,711.41092,42.915982,72.122459,happiness
335.912683,31.432558,42.411523,41.389579,10.949884,46.692338,70.049154,185.668235,189.265918,45.794914,39.020338,0.001138,0.006314,0.014948,0.01688,13.446894,7.099507,0.388,10.853177,250,-16.249701,34.493968,250,-16.884762,486.38757,647.177871,36.817497,75.313355,boredom
398.176753,34.52847,65.289104,59.570732,12.516451,40.939403,63.334863,190.021386,172.413102,57.688383,54.336498,0.001104,0.010524,0.024435,0.029045,11.171196,7.618191,0.388357,9.824387,250,-20.127255,30.725833,250,-20.300868,563.237499,777.930197,44.426124,74.400935,neutral
1065.464139,30.460292,132.871213,48.286837,42.766905,18.157774,55.953866,146.715129,135.171982,32.522516,60.259267,0.002284,0.015409,0.037392,0.039913,10.966068,7.131532,0.364439,13.496129,150,-23.29318,20.962909,50,-28.15463,1023.528588,901.893427,44.542829,72.247796,sadness
627.36606,33.068325,62.788545,39.284265,48.061548,38.911305,72.011437,303.647769,285.017136,85.448027,52.118719,0.000634,0.005036,0.023905,0.024806,7.580044,5.5745,0.436318,-3.230238,750,-2.350618,33.2955,1050,-2.331457,659.136057,777.626131,19.270638,61.548967,anger
636.422186,50.88382,36.444428,58.514427,65.162297,25.091956,75.064634,211.614786,202.465488,44.855579,56.627902,0.000844,0.006732,0.023469,0.026724,9.812855,5.721871,0.41885,7.279927,550,-12.471709,35.810504,550,-12.437779,525.038776,689.928035,35.298496,70.897399,happiness
382.496405,34.140957,44.190042,45.669826,13.025395,45.226422,54.92221,180.809955,183.254176,48.321563,42.890713,0.001121,0.005633,0.022106,0.021615,14.829252,6.313489,0.366713,7.475435,550,-15.14689,40.743694,250,-16.046868,565.062707,687.994637,36.599786,77.170201,boredom
506.360557,43.251135,34.227699,65.534843,6.649343,28.072787,57.760261,161.536151,159.320955,48.025341,61.367366,0.001128,0.010786,0.026979,0.027295,9.571299,6.678247,0.411129,12.789417,250,-13.702144,35.310974,250,-14.975069,579.244784,733.731347,40.51358,73.017802,neutral
410.726436,23.361131,62.276638,28.102246,40.236354,14.700627,51.231438,144.394495,131.685453,40.586201,74.753788,0.001309,0.016416,0.026711,0.030957,11.742326,7.700901,0.373999,11.717004,150,-20.982008,26.211934,50,-25.088848,1181.288896,959.673752,44.502805,64.133318,sadness
1382.753337,56.159088,82.594197,64.699188,81.182566,37.393935,116.538668,361.059712,356.114904,81.23921,66.004525,0.00077,0.007575,0.027837,0.030393,6.43971,4.767005,0.422055,-2.276306,1250,-0.697197,42.175372,1250,-1.012844,851.724124,822.241515,20.083744,67.17886,anger
705.257629,42.379517,48.756902,51.041896,43.940087,30.786374,73.488007,270.528066,254.393587,68.19283,53.870736,0.000675,0.005778,0.024113,0.025903,11.381087,6.560056,0.410898,8.539224,250,-11.310826,40.798774,250,-10.880143,533.578028,778.319205,32.661024,74.144449,happiness
542.286403,34.022653,59.191463,41.630259,12.456461,33.329303,66.505913,207.131075,203.727225,65.480972,61.418404,0.001122,0.008955,0.019572,0.020516,13.053912,7.945172,0.365307,14.936052,250,-15.875233,37.504858,250,-17.294429,495.858444,734.316334,35.588503,72.856612,boredom
697.10455,36.673801,61.087056,50.792754,6.753114,12.628568,45.403306,195.865732,184.707468,53.048652,63.360397,0.001143,0.011093,0.029726,0.030551,10.516322,6.538928,0.404577,7.018075,250,-16.092322,27.666685,250,-16.857705,462.064921,757.598663,42.757107,72.108914,neutral
654.10869,27.131545,71.706829,37.524959,35.430103,28.08345,50.99024,135.261017,125.197174,34.40828,77.284494,0.001944,0.018247,0.031078,0.033689,8.821148,7.202239,0.373882,13.817263,150,-19.342207,25.526198,150,-23.00664,595.212627,847.421971,42.880265,73.295568,sadness
909.48149,51.348401,56.39531,63.023379,80.094588,31.174688,61.226899,304.750145,298.830339,75.557947,76.233944,0.000564,0.006477,0.027863,0.028282,8.718341,5.156396,0.410199,13.513475,650,-7.706989,42.530015,650,-7.861349,678.033788,799.605433,22.779639,71.029087,anger
651.145526,38.47998,88.994261,46.855056,41.293094,113.518745,52.236115,264.566033,275.8217,100.368729,57.116705,0.001112,0.006854,0.01759,0.019246,12.079741,5.864833,0.398623,14.510406,450,-13.473732,42.761648,450,-14.233108,492.246766,721.427667,39.136565,73.019903,happiness
451.175146,32.381904,62.781428,45.100232,21.039967,147.045385,50.605346,168.49905,174.632058,68.380189,42.563415,0.001511,0.013443,0.023129,0.020127,12.644707,9.862057,0.382156,6.875248,250,-23.27765,27.052797,250,-23.723413,389.137304,629.510067,46.353829,76.137659,boredom
551.00342,35.074446,49.62286,52.067032,11.127062,47.800198,68.380173,194.267265,193.02728,59.234637,51.506041,0.001139,0.011447,0.024075,0.024312,11.598793,7.417554,0.375729,17.69453,250,-21.457046,32.939245,250,-22.048147,407.777275,664.25772,38.141487,76.308085,neutral
227.471321,21.49654,23.257697,34.552841,38.454472,14.468695,35.808636,141.334423,128.784091,43.913477,79.10977,0.000946,0.018281,0.028085,0.02781,7.191578,7.917299,0.368233,20.551244,150,-20.493952,26.11385,150,-25.084017,1183.650687,948.373754,44.387984,73.815611,sadness
470.071482,19.242552,74.795667,35.750473,30.666063,31.749841,50.963592,129.615906,129.108027,46.931236,87.97159,0.001419,0.016123,0.031473,0.029932,8.688473,8.051276,0.364588,18.696989,150,-20.956926,25.073034,150,-26.545569,1190.57953,956.922528,45.638121,68.767274,sadness
1164.390099,56.662342,97.529914,68.978047,62.540512,24.654287,84.329288,366.286029,337.480975,115.512314,68.593514,0.000853,0.005028,0.022683,0.024383,8.745412,3.839674,0.413559,7.645788,1250,-3.586749,39.787411,1250,-2.964913,644.088288,796.416979,21.568576,66.833217,anger
949.187349,42.773052,60.194467,51.954452,66.899944,39.018675,55.797616,263.016544,262.323362,81.03412,73.126484,0.000716,0.008514,0.030046,0.029864,9.458838,7.620061,0.34589,18.22803,250,-17.242963,22.371529,350,-19.909048,467.828229,800.313529,40.423509,70.564459,fear
586.79626,39.766398,51.768016,59.178316,9.594355,34.599456,66.130074,209.468961,206.810506,58.576975,59.528307,0.001088,0.007617,0.019666,0.020693,10.263174,5.246967,0.38243,19.992678,250,-15.249806,33.471889,250,-15.681585,456.69288,749.399088,42.28874,74.696568,happiness
790.835056,40.315365,80.702495,47.115813,99.247996,52.48026,64.294612,297.286985,281.31394,92.687781,51.672216,0.001067,0.007112,0.017413,0.018577,10.581739,6.000471,0.36322,13.56911,350,-14.854745,35.921771,450,-16.444009,493.026092,780.369082,41.047473,73.333839,happiness
361.452938,29.633173,42.016474,36.663427,9.350563,30.733032,41.893411,176.911405,177.462237,50.426089,46.042738,0.001161,0.007337,0.01598,0.01642,11.073684,8.75292,0.345181,11.393598,250,-18.512346,24.220409,250,-23.243279,463.062021,731.686337,46.206174,76.046561,boredom
916.643498,42.849257,49.688592,54.529434,8.526717,23.68341,60.598966,209.147008,198.113441,65.63969,55.807264,0.001318,0.00947,0.022669,0.023401,9.753384,7.743613,0.360798,20.424722,250,-19.174146,28.057173,250,-22.222383,413.909246,742.632945,48.417952,78.452604,neutral
982.321432,45.840473,87.698534,56.06789,67.54927,29.382734,54.660668,249.393973,271.360365,99.785544,63.862931,0.00108,0.006585,0.03077,0.03216,8.903057,4.828172,0.408763,9.133635,450,-9.163875,33.26498,450,-9.839817,580.775326,773.163097,-300,67.443696,anger
995.942204,45.379918,104.924873,52.515736,42.89711,31.766969,64.413292,332.345438,305.084491,114.620833,58.300574,0.001089,0.0063,0.02214,0.023567,11.824305,5.094541,0.406365,10.627606,450,-8.096842,40.839867,450,-8.734146,564.564025,727.088255,38.992271,68.846715,happiness
355.119875,30.295424,38.721344,44.672562,16.622175,20.041803,42.960545,170.61703,172.88537,52.544795,40.030608,0.001094,0.011389,0.017941,0.01596,15.742838,6.009168,0.405342,-2.996657,250,-16.25784,31.507129,250,-17.114432,445.081456,630.10046,39.941971,71.292266,boredom
496.784812,43.367351,44.365533,61.051329,5.945113,12.074206,50.849355,185.505183,185.496927,55.65921,58.018821,0.001148,0.011807,0.024268,0.024011,10.468932,5.984202,0.399511,11.495002,250,-14.837741,33.583602,250,-15.8407,499.598568,711.917563,37.355563,71.808137,neutral
591.710969,18.566722,109.727051,29.167341,30.890667,4.370918,50.740712,139.034159,125.772472,52.016069,77.368601,0.002196,0.016776,0.035524,0.037651,7.943116,5.682181,0.384145,8.936246,150,-18.53486,28.813883,150,-19.512976,1196.399077,1021.210604,44.507236,63.940772,sadness
1133.738125,56.467745,81.107775,71.796185,78.195212,21.664083,61.84398,280.094447,279.552429,96.237965,71.266087,0.000834,0.00934,0.028351,0.030386,6.950996,4.73676,0.41127,6.153975,650,-8.731767,36.961195,650,-8.161025,821.899076,909.056854,24.658358,67.875843,anger
803.244583,49.47582,65.171046,60.721297,20.550834,9.441773,60.029737,214.730151,235.306874,82.244938,72.398584,0.000999,0.006612,0.021524,0.023411,10.724847,5.56222,0.407743,-0.392629,250,-10.176882,30.495294,250,-10.371887,631.836959,756.858665,26.602303,67.084636,happiness
279.309178,27.130451,43.841918,37.478332,8.455252,62.108649,52.808647,163.478681,177.931662,51.365384,43.351504,0.001225,0.007603,0.017926,0.017717,14.818621,8.741209,0.367975,4.538996,250,-20.575545,26.692651,250,-21.343551,453.895689,635.74015,38.825836,76.636438,boredom
